Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,PC5,Regime
1997-03-31,-5.02,-0.41,3.39,0.39,1.53,0.43,0.88,2.2098104030207564,0.9131488404403294,0.238513196131476,-0.6331719346287692,0.19974502277343129,1
1997-04-30,4.04,-5.7,0.0,3.36,-1.02,0.43,4.83,2.4839470696390236,0.5040682916332844,0.4311121731955684,-0.6503740281600773,0.99545336287779,1
1997-05-31,6.73,4.68,-4.11,-1.04,-2.76,0.49,-5.19,2.3885531156972597,0.5426082275173653,0.25018529530990563,-0.8180696055406946,1.0746019256760981,1
1997-06-30,4.1,1.17,1.44,0.56,0.45,0.37,2.59,2.3856774937121767,0.29954157515691304,0.33111663700074456,-0.19244305312411644,0.9027455399646972,1
1997-07-31,7.31,-2.74,0.13,0.18,-2.56,0.43,3.7,2.2460980163924495,0.48854175909529607,0.05341558375182845,-0.3904743103754554,0.6418378274227907,1
1997-08-31,-4.09,7.5,1.13,-1.02,-0.17,0.41,-2.57,2.3006641401270667,0.5045705278696108,0.0859227659530737,0.2102493091893216,0.6399740569795704,1
1997-09-30,5.34,2.48,0.24,-1.58,-0.93,0.44,1.46,2.2594981172620634,0.5452051177079812,0.046034357539310816,0.20751625475299812,0.6719005595789245,1
1997-10-31,-3.81,-0.56,2.33,0.75,2.01,0.42,-0.53,2.151974155031217,0.7455515869738176,-0.2359150147644449,0.00034599235417362434,0.4404049585452168,1
1997-11-30,2.99,-5.01,1.22,3.08,1.73,0.39,0.38,1.9460258454383759,1.3567776991324731,-0.679074945998511,0.36103523883113675,0.8986766630380337,1
1997-12-31,1.36,-2.09,3.74,0.64,1.95,0.48,3.91,2.060249178700798,1.0011577415124249,-0.5553424471125875,-0.22736780161367676,0.6538947821033992,1
1998-01-31,0.14,-1.28,-1.68,0.91,-0.62,0.43,0.05,1.9569356821662156,0.6558309230102473,-0.48047285937419804,-0.12871121357483595,0.6116154966754564,1
1998-02-28,7.04,0.05,-0.93,-0.37,-2.58,0.39,-1.19,1.9868543940585992,0.5509064292938497,-0.4610591852032996,-0.7450711659617721,0.5447075872604381,1
1998-03-31,4.76,-0.73,1.38,-0.55,-0.23,0.39,2.13,2.037534100929042,0.5949712830875615,-0.4498367637870103,-0.7353372015413344,0.5508188766450127,1
1998-04-30,0.74,0.01,1.03,-1.68,-0.36,0.43,0.76,2.105016822080019,0.5656214568728595,-0.5731113425201262,-0.22135183431872202,0.48506147997087357,1
1998-05-31,-3.05,-3.0,3.41,1.03,2.47,0.4,1.91,2.2292918521774077,0.3182685706617693,-0.39552056576522426,0.12499132527347309,0.28591864159381386,1
1998-06-30,3.21,-3.61,-2.03,-0.26,-3.03,0.41,7.26,2.1358845510398194,0.5143805861953036,-0.5776525924899863,-0.25623815862611915,0.43898971562501327,1
1998-07-31,-2.42,-5.2,-1.83,1.64,0.76,0.4,3.79,2.199517311201456,0.1305561502533299,-0.388655784250111,0.016016498452198,0.5091394059179375,1
1998-08-31,-16.05,-4.97,3.57,3.35,5.78,0.43,1.9,1.7157040409511797,1.1114856957722998,-0.8771513940678807,0.3941126885281077,1.22185200723656,1
1998-09-30,6.19,-0.89,-3.51,-1.84,-2.84,0.46,-0.65,0.9839262837456679,1.7072025006645666,-1.3042110541534158,0.7361054848076766,1.6973953538347808,1
1998-10-31,6.98,-3.36,-2.33,0.88,0.18,0.32,-5.33,0.5944338844903693,1.2017778313379714,-1.062981551674215,1.3131695810511725,1.8035201344850393,1
1998-11-30,6.07,0.76,-3.24,-0.92,-0.92,0.31,1.13,1.0314827015584647,0.6152002412211497,-0.8228215173516743,0.2612537054566339,1.3817222756260497,1
1998-12-31,6.15,-1.5,-4.25,-0.69,-3.26,0.38,8.87,1.0248710829995913,0.4676326541681316,-0.903410473442349,0.41294125990839764,1.2973273273374024,1
1999-01-31,3.47,-0.82,-4.46,-2.8,-6.41,0.35,2.84,0.9663765116213315,0.9158139571713351,-1.1146557861860977,0.6048617580849072,0.8715536118048803,1
