Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,Regime,LaggedRegime
1998-07-31,-2.42,-5.2,-1.83,1.64,0.76,0.4,3.79,2.199401647872857,0.12912480492905715,-0.3841145361072876,0.011008795781254195,0,0
1998-08-31,-16.05,-4.97,3.57,3.35,5.78,0.43,1.9,1.7154973795104358,1.1127242850693326,-0.8643735528163764,0.38172907038910736,0,0
1998-09-30,6.19,-0.89,-3.51,-1.84,-2.84,0.46,-0.65,0.9836299096643157,1.710542748482363,-1.2859278440859974,0.7187919083840522,0,0
1998-10-31,6.98,-3.36,-2.33,0.88,0.18,0.32,-5.33,0.593632276062132,1.2041766608355455,-1.046259382478038,1.2949290704902132,0,0
1998-11-30,6.07,0.76,-3.24,-0.92,-0.92,0.31,1.13,1.0307798805150785,0.6157624661379633,-0.8108408625526901,0.24742701041400317,0,0
1998-12-31,6.15,-1.5,-4.25,-0.69,-3.26,0.38,8.87,1.0241603270842436,0.4684863723565683,-0.8924631584029433,0.39996743604656326,0,0
1999-01-31,3.47,-0.82,-4.46,-2.8,-6.41,0.35,2.84,0.9664988665256187,0.917952668377006,-1.1043727656445383,0.5959713475983038,0,0
1999-02-28,-4.08,-5.15,1.95,-1.23,4.08,0.35,-0.14,1.0558751341573434,1.2425313641510662,-1.1246612904635795,-0.018437366389048512,0,0
1999-03-31,3.48,-4.37,-2.61,-4.05,-1.07,0.43,-1.21,1.3215893697084737,0.9280584955643559,-0.9194158829376713,-0.07295424520094118,0,0
1999-04-30,4.34,4.52,2.4,-2.47,0.84,0.37,-8.98,1.6096611634011138,0.06440998805224529,-0.3779431032408819,1.7501637080684143,0,0
1999-05-31,-2.46,3.75,2.49,0.95,3.18,0.34,-5.25,1.4045776516779853,1.053561637956867,-0.798682785387854,-0.057302999120547135,0,0
1999-06-30,4.77,2.34,-3.22,0.93,-2.91,0.4,4.66,1.598494704796537,1.0390841147285081,-0.6176336525683676,-0.4236228875896684,0,0
1999-07-31,-3.49,2.54,-0.18,0.29,3.27,0.38,1.7,1.9325542513790395,0.14193020186098593,-0.19225867272549058,0.7863911509549598,0,0
1999-08-31,-1.37,-1.67,-1.93,-0.24,0.72,0.39,2.98,1.8044832406622446,0.6797840711014759,-0.42990448224784844,0.3861256055987219,0,0
1999-09-30,-2.77,2.48,-2.9,-0.96,-0.99,0.39,6.38,1.8835756951843226,0.5006565500090016,-0.3129723791457235,1.0238591630746754,0,0
1999-10-31,6.09,-7.13,-2.88,-1.75,-0.87,0.39,5.45,1.9023644744751482,0.6617276438622414,-0.39975622464332317,0.25750836606932365,0,0
1999-11-30,3.41,5.69,-5.65,-4.18,-1.84,0.36,5.49,2.0918988705244606,0.4586655547877752,-0.3728689663168044,0.0620133984953474,0,0
1999-12-31,7.66,5.1,-7.66,-8.0,-5.87,0.44,13.1,2.317847990452762,0.3821935559229425,-0.27774986840719296,0.1757206173871755,0,0
2000-01-31,-4.74,4.21,-1.12,-6.15,4.56,0.41,1.86,2.4914274794507927,0.9196871064369755,-0.2903112083001416,0.3688162986725771,0,0
2000-02-29,2.45,18.46,-9.77,-18.95,-1.13,0.43,18.0,2.661358183165166,0.8476543701726883,-0.39191319625877186,0.880202575632373,0,0
2000-03-31,5.21,-15.54,8.5,11.65,-1.2,0.47,-6.85,2.603435787483776,0.7101022287794314,-0.5247616845287514,1.3526910171835906,0,0
2000-04-30,-6.35,-4.75,6.45,8.07,5.63,0.46,-8.6,2.1891252284600253,1.2605017079270968,-1.1728520832185498,-0.24402015594613646,0,0
2000-05-31,-4.39,-3.86,4.59,4.05,1.47,0.5,-8.99,2.4643830050226647,1.120490376957284,-0.7607517924450019,0.4469403966492334,0,0
2000-06-30,4.68,9.95,-8.04,-8.31,-3.17,0.4,16.6,2.768461420899711,0.1500462508900057,-0.3748371067768774,1.4627458871875305,0,0
2000-07-31,-2.48,-0.94,8.06,5.72,2.98,0.48,-0.16,2.456383677083589,1.0562076000650422,-0.7723231829105661,0.37775438356892355,0,0
2000-08-31,7.03,-0.95,-1.37,-3.06,1.21,0.5,5.59,2.2294787430805516,1.292610365685919,-1.050546205876364,-0.6093852633871173,0,0
2000-09-30,-5.44,0.27,7.24,2.7,5.54,0.51,1.89,2.3677186321824935,0.7417680025029556,-0.7143325512633302,1.2519123089690545,0,0
2000-10-31,-2.78,-2.58,5.58,9.54,3.71,0.56,-4.56,1.96731492497666,1.4028318403202578,-1.0698128058479062,0.38645106792438855,0,0
2000-11-30,-10.7,-0.35,12.24,13.05,8.35,0.51,-2.17,1.9496637510988915,1.455083089605785,-1.0931902333197339,0.46809842549459185,0,0
2000-12-31,1.18,3.26,7.55,1.92,4.82,0.5,6.59,1.621218207114819,1.314402939685388,-1.1930574113541652,0.7546108425691329,0,0
2001-01-31,3.25,5.23,-5.05,-5.2,-5.21,0.54,-25.3,1.2742533189422967,1.0989836485930433,-0.6972414504735506,1.5784829275952985,0,0
2001-02-28,-10.03,2.87,12.23,9.12,9.01,0.38,12.6,1.0114090936218294,1.283000310361439,-0.8735076409530746,0.5345993589205948,0,0
2001-03-31,-7.25,2.33,6.47,3.34,3.72,0.42,8.65,0.49207311139577,1.883285399482703,-1.1897684002322837,0.2669589779301627,0,0
2001-04-30,7.94,-0.88,-4.64,-3.18,-3.19,0.39,-8.01,0.43094961697237505,1.3205294074920912,-0.6375261584918371,0.5802504649038859,0,0
2001-05-31,0.68,3.55,3.38,0.29,1.95,0.32,2.15,0.7319977843474083,0.4234613103255827,-0.02955819491183504,1.1849725419331123,0,0
2001-06-30,-1.94,6.69,-1.26,1.57,-1.67,0.28,0.62,0.47505311567752745,0.5511530686161983,-0.08460758058441978,0.2578794961814545,0,0
2001-07-31,-2.13,-2.86,4.95,7.29,2.9,0.3,5.48,0.044132648607903585,1.549783994753375,-0.5869231614791361,-0.9289264452617232,0,0
2001-08-31,-6.4,2.54,2.86,3.81,6.53,0.31,5.46,-0.1348012697191208,1.3160682679858442,-0.44346339512161126,-0.40400337733626807,0,0
2001-09-30,-9.24,-5.74,1.52,5.03,3.35,0.28,11.3,-0.9256603285799534,1.7669706544523118,-0.45027640196100654,1.791751748989239,0,0
2001-10-31,2.48,5.34,-7.31,-2.98,-4.36,0.22,-8.32,-1.5478129148555266,2.0889617894204178,-0.6182928272598884,-0.5217977237044049,0,0
2001-11-30,7.53,-0.36,2.17,-3.49,-1.68,0.17,-8.61,-1.289153167481298,1.3064256423587817,-0.12913637898515126,-0.27365117190413546,0,0
2001-12-31,1.61,5.11,0.83,0.26,-0.28,0.15,0.02,-1.0881269662698667,1.1236319601430467,0.24716772289549596,-0.5210692167513373,0,0
2002-01-31,-1.44,1.28,3.42,4.73,2.83,0.14,3.65,-0.8645528597899287,0.4318828408244889,0.5734990733415102,0.05177054453432561,0,0
2002-02-28,-2.28,-0.38,2.34,8.03,5.1,0.13,6.83,-0.9334474053723595,0.4839244512635684,0.44926358604632094,0.21663701192244808,0,0
2002-03-31,4.24,4.15,1.08,-1.83,0.66,0.13,-1.69,-0.45796434480894727,0.12949892830583545,0.693878055234621,0.2942476393005197,0,0
2002-04-30,-5.21,6.63,4.01,4.59,5.35,0.15,7.7,-0.5110726792370329,0.08564833688290117,0.8263143949476346,0.827205965499979,0,0
2002-05-31,-1.36,-3.07,1.52,2.31,2.53,0.14,3.09,-0.8234290810963648,0.5363013485225316,0.5581515332445961,-0.2220144459071743,0,0
2002-06-30,-7.23,3.76,0.37,3.92,2.66,0.13,6.24,-1.1331856899199206,0.9347267028823263,0.2899174883789844,-0.03936346790486454,0,0
2002-07-31,-8.19,-6.33,-3.51,3.84,-1.1,0.15,3.63,-1.6172520822610916,1.4631658615535412,0.058547989941262195,1.033723573748208,0,0
2002-08-31,0.5,-1.28,3.01,1.37,-1.4,0.14,1.87,-1.7666002474381375,1.2607439101905749,-0.021892995329742832,1.2426367308731117,0,0
2002-09-30,-10.34,3.05,1.26,3.29,-2.29,0.14,9.18,-2.0357286875592253,1.6769167593017351,-0.5216457581764622,1.202102831363238,0,0
2002-10-31,7.84,-4.29,-3.76,-3.16,0.73,0.14,-5.58,-2.194487600943596,1.6767133043124978,-0.38361972704543895,1.2618573170750285,0,0
2002-11-30,5.96,2.94,-1.16,-9.25,5.16,0.12,-16.4,-2.0516947323879338,1.1201009471445618,-0.00041252559802642164,0.638660191442652,0,0
2002-12-31,-5.76,0.55,2.11,6.32,-1.79,0.11,9.72,-2.060248930484108,1.0656651374168344,0.07700795071622538,0.542148196143855,0,0
2003-01-31,-2.57,0.71,-0.79,-0.93,0.69,0.1,1.59,-1.8208694105948369,0.44447347354386874,0.38573254776523414,1.2961315777477174,0,0
2003-02-28,-1.88,-0.87,-1.36,0.79,-0.68,0.09,1.21,-1.8285517187179823,0.5104168506114994,0.34183871102552416,2.0320447975789335,0,0
2003-03-31,1.09,0.77,-2.11,1.68,-0.81,0.1,1.4,-2.010092626053415,0.8727386900142654,0.03576571650126506,0.6292898476455315,0,0
2003-04-30,8.18,1.14,1.22,-4.68,0.98,0.1,-9.35,-1.9776267007044865,0.8624728937979976,0.07229672047995721,-1.5755992515288197,1,0
2003-05-31,6.05,4.78,0.7,-6.94,3.07,0.09,-10.7,-1.7917454033562878,0.19925180517187313,0.19521204085152413,-1.121310397588068,1,1
2003-06-30,1.42,1.65,0.14,0.44,-0.4,0.1,-1.23,-1.7885143400103751,-0.16168073452634218,0.36240606242491286,-0.2293855388590382,1,1
2003-07-31,2.33,4.4,-1.53,-3.89,1.52,0.07,-0.3,-1.4555053720812412,-0.7940070672317969,1.0859517020627603,0.2636234706972315,1,1
2003-08-31,2.33,2.37,1.64,-2.29,2.15,0.07,-0.53,-1.17962701409292,-0.8721218402694749,1.348051659925541,0.6951293028372459,1,1
2003-09-30,-1.24,0.57,0.14,0.9,0.41,0.08,-0.07,-1.2952441113031576,-0.760567190909334,1.1893201613702067,0.2841161341356148,1,1
2003-10-31,6.08,2.63,2.21,-1.38,1.65,0.07,4.01,-1.4497920136630527,-0.16139553460283565,0.8006892249407778,-1.1964106677772763,1,1
2003-11-30,1.35,2.31,1.72,0.21,1.68,0.07,1.36,-1.1699592044252793,-0.4434071210686159,0.7991395385838808,-0.7346221980394606,1,1
2003-12-31,4.29,-2.51,1.51,0.57,0.85,0.08,-5.54,-1.0245906485301262,-0.769490177966598,0.9276049298246359,-0.13396329229661597,1,1
2004-01-31,2.15,2.46,2.42,-3.6,3.33,0.07,2.57,-1.0112785094164924,-0.8483735927258574,0.9760373867343118,0.35155809853445835,1,1
2004-02-29,1.4,-0.92,0.95,2.13,-1.17,0.06,-1.17,-1.0411835175155266,-0.6673464597894496,0.7614876087452828,-0.3348516762888235,1,1
2004-03-31,-1.32,2.11,0.23,1.65,-0.98,0.09,0.19,-1.2227954482120449,-0.5303867723738012,0.6178696683992579,-0.2657979670713576,1,1
